                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.2526,                 3.8184,                 4.2158,                  7e-05,                0.00124,                  3e-05,                      0,                 5.2937,                 3.8708,                 4.1638,                0.00028,                0.00028,                0.00028
                      2,                  4.695,                 3.3531,                 4.0684,                  7e-05,                0.00124,                  3e-05,                  1e-05,                 5.2983,                 3.8849,                 4.1624,             0.00057713,             0.00057713,             0.00057713
                      3,                 4.1324,                 2.6913,                 3.8983,                  7e-05,                0.00124,                  3e-05,                  1e-05,                 5.3644,                 4.0512,                  4.206,             0.00087129,             0.00087129,             0.00087129
                      4,                 3.3671,                 2.2508,                 3.6234,                 0.0001,                0.00186,                  5e-05,                  1e-05,                 5.5042,                 4.3133,                 4.3766,              0.0011625,              0.0011625,              0.0011625
                      5,                 3.1445,                 2.0841,                 3.2352,                 0.0001,                0.00186,                  5e-05,                  1e-05,                 5.4037,                  3.955,                  4.278,              0.0014507,              0.0014507,              0.0014507
                      6,                 2.7585,                 1.9565,                 2.8455,                0.00623,                0.13135,                0.00493,                 0.0012,                 4.8051,                 3.1538,                  3.827,              0.0017359,              0.0017359,              0.0017359
                      7,                 2.6798,                 1.9143,                 2.7044,                0.26113,                0.27108,                0.17453,                0.06336,                 3.1893,                 2.2337,                 2.9978,              0.0019406,              0.0019406,              0.0019406
                      8,                 2.6342,                  1.815,                 2.4847,                0.28181,                0.23482,                0.14108,                0.04816,                 3.4447,                 2.2712,                 3.0456,              0.0019406,              0.0019406,              0.0019406
                      9,                 2.4806,                 1.8073,                 2.4229,                0.16696,                0.26642,                0.08834,                0.02279,                 3.6734,                 2.0562,                 3.1781,              0.0019307,              0.0019307,              0.0019307
                     10,                 2.3306,                 1.5716,                 2.2237,                0.49294,                0.49566,                0.45332,                0.15683,                 2.5503,                 1.6877,                 2.4619,              0.0019208,              0.0019208,              0.0019208
                     11,                 2.2881,                 1.5988,                 2.1935,                0.60155,                0.47831,                0.53916,                0.21442,                 2.3787,                 1.7144,                 2.4307,              0.0019109,              0.0019109,              0.0019109
                     12,                 2.2761,                 1.4847,                 2.1054,                0.18657,                 0.3798,                0.14852,                0.06388,                 2.1089,                 2.0909,                 2.4117,               0.001901,               0.001901,               0.001901
                     13,                  2.225,                  1.548,                 2.2274,                0.07778,                0.51363,                0.06256,                0.02618,                 2.1923,                 3.3145,                 2.4349,              0.0018911,              0.0018911,              0.0018911
                     14,                 2.1672,                 1.4248,                 1.9763,                0.74523,                0.61958,                0.70039,                0.35447,                 1.9063,                  1.549,                 2.0389,              0.0018812,              0.0018812,              0.0018812
