                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     15,                 2.0975,                 1.3887,                 1.9303,                0.55188,                0.61648,                0.60697,                0.26754,                 1.9618,                 1.5488,                 2.0792,              0.0018713,              0.0018713,              0.0018713
                     16,                 2.0311,                 1.3937,                 1.9135,                0.61776,                0.60179,                0.63291,                0.22956,                 2.1813,                 1.5723,                 2.2083,              0.0018614,              0.0018614,              0.0018614
                     17,                 2.0196,                 1.3315,                 1.8916,                0.70328,                0.65985,                 0.6936,                0.32407,                 1.8701,                 1.5168,                 1.9123,              0.0018515,              0.0018515,              0.0018515
                     18,                 1.9286,                 1.2791,                 1.8532,                0.78157,                0.78253,                0.80429,                0.40984,                 1.7315,                 1.2249,                 1.8411,              0.0018416,              0.0018416,              0.0018416
                     19,                 1.8479,                 1.1689,                 1.7657,                0.67165,                0.71809,                0.74514,                0.36763,                 1.7754,                 1.3954,                 1.9068,              0.0018317,              0.0018317,              0.0018317
                     20,                  1.801,                 1.2174,                 1.8573,                0.82113,                0.79244,                0.84827,                0.42929,                 1.7456,                 1.1771,                  1.839,              0.0018218,              0.0018218,              0.0018218
                     21,                 1.7974,                 1.1449,                 1.7449,                0.90582,                0.82776,                0.88792,                0.48716,                 1.6456,                 1.1195,                 1.7467,              0.0018119,              0.0018119,              0.0018119
                     22,                 1.7926,                 1.1007,                 1.7619,                0.87643,                0.86369,                  0.891,                0.48967,                 1.5907,                 1.0438,                  1.722,               0.001802,               0.001802,               0.001802
                     23,                 1.9571,                 1.1309,                 1.8602,                0.90022,                0.83849,                0.90368,                0.44892,                 1.7126,                 1.0454,                 1.7904,              0.0017921,              0.0017921,              0.0017921
                     24,                 1.8142,                 1.1187,                 1.7794,                0.85585,                0.81784,                 0.8767,                0.47509,                  1.636,                 1.0845,                 1.7457,              0.0017822,              0.0017822,              0.0017822
                     25,                  1.763,                  1.064,                  1.765,                0.87518,                 0.8197,                0.87474,                0.46614,                 1.5942,                 1.0373,                 1.7389,              0.0017723,              0.0017723,              0.0017723
                     26,                 1.7605,                 1.1093,                 1.6891,                0.87168,                0.84572,                0.87525,                0.45801,                 1.6069,                 1.0598,                 1.6893,              0.0017624,              0.0017624,              0.0017624
                     27,                 1.6887,                 1.0297,                 1.6579,                 0.9115,                0.84077,                0.90793,                0.50901,                  1.546,                 1.0009,                 1.6515,              0.0017525,              0.0017525,              0.0017525
                     28,                 1.6363,                 1.0085,                  1.589,                0.91243,                0.86617,                0.91863,                0.52525,                 1.5287,                 0.9244,                 1.6287,              0.0017426,              0.0017426,              0.0017426
                     29,                 1.6686,                 1.0152,                 1.6575,                0.89665,                0.86059,                0.90318,                0.50901,                 1.4965,                0.97135,                 1.6271,              0.0017327,              0.0017327,              0.0017327
                     30,                 1.6734,                 1.0414,                 1.6679,                0.91724,                0.85837,                0.91026,                0.49247,                  1.556,                0.97006,                 1.6521,              0.0017228,              0.0017228,              0.0017228
                     31,                 1.6348,                 1.0145,                 1.6155,                0.92097,                 0.8767,                0.92383,                0.52958,                 1.4996,                0.93405,                 1.6173,              0.0017129,              0.0017129,              0.0017129
                     32,                  1.645,                 0.9836,                 1.5817,                0.92274,                0.86581,                0.90997,                0.51508,                 1.5346,                0.93271,                 1.5999,               0.001703,               0.001703,               0.001703
                     33,                 1.6144,                 1.0145,                 1.5554,                0.85187,                0.80979,                0.86238,                0.46893,                 1.5771,                 1.0507,                 1.6105,              0.0016931,              0.0016931,              0.0016931
                     34,                 1.6231,                0.95334,                 1.5891,                0.91685,                0.86493,                0.91425,                0.50606,                 1.5505,                0.92968,                 1.5922,              0.0016832,              0.0016832,              0.0016832
                     35,                 1.5809,                0.93982,                 1.5375,                0.92272,                0.87289,                0.92633,                0.53099,                 1.5296,                 0.9024,                 1.5882,              0.0016733,              0.0016733,              0.0016733
                     36,                 1.5881,                0.92756,                 1.4934,                0.89258,                0.88538,                0.92456,                0.53808,                 1.4847,                0.88481,                 1.5429,              0.0016634,              0.0016634,              0.0016634
                     37,                 1.6211,                0.95945,                 1.5763,                 0.9126,                0.90087,                0.93448,                0.54113,                 1.4855,                0.86095,                 1.5496,              0.0016535,              0.0016535,              0.0016535
                     38,                 1.5664,                0.90397,                  1.517,                0.91987,                0.89621,                0.93574,                0.56004,                 1.4406,                0.86342,                 1.5301,              0.0016436,              0.0016436,              0.0016436
                     39,                 1.5455,                0.92901,                 1.5329,                0.93142,                0.89192,                0.93175,                0.55912,                 1.4455,                0.82768,                 1.5259,              0.0016337,              0.0016337,              0.0016337
                     40,                 1.5894,                0.90922,                  1.552,                0.93024,                0.89343,                 0.9343,                0.55834,                 1.4594,                0.82532,                 1.5379,              0.0016238,              0.0016238,              0.0016238
                     41,                 1.5647,                0.86105,                 1.4758,                0.93067,                0.89777,                0.94047,                0.55002,                 1.4771,                0.82707,                 1.5421,              0.0016139,              0.0016139,              0.0016139
                     42,                  1.537,                0.87053,                 1.5004,                0.93849,                0.90087,                0.94119,                0.56458,                 1.4396,                0.79562,                 1.5094,               0.001604,               0.001604,               0.001604
                     43,                 1.5313,                0.90442,                 1.5213,                0.93201,                0.89175,                0.93558,                0.54134,                 1.4621,                0.82899,                 1.5222,              0.0015941,              0.0015941,              0.0015941
                     44,                 1.5474,                0.92057,                 1.5429,                0.94009,                0.90415,                0.94019,                0.56692,                 1.4244,                0.83605,                 1.4958,              0.0015842,              0.0015842,              0.0015842
                     45,                 1.5112,                0.87866,                 1.5333,                0.93844,                0.90675,                0.94358,                0.57228,                 1.4232,                0.82267,                 1.4867,              0.0015743,              0.0015743,              0.0015743
                     46,                  1.507,                0.83904,                 1.4254,                0.94365,                0.90262,                0.94288,                0.57505,                 1.4238,                0.80696,                 1.4805,              0.0015644,              0.0015644,              0.0015644
                     47,                 1.5439,                0.86242,                 1.4856,                0.93699,                0.89372,                0.93768,                0.55999,                 1.4471,                0.81216,                 1.4944,              0.0015545,              0.0015545,              0.0015545
                     48,                 1.4776,                0.84101,                  1.465,                0.93664,                0.90149,                   0.95,                0.58179,                 1.3976,                0.77692,                 1.4682,              0.0015446,              0.0015446,              0.0015446
                     49,                 1.4423,                 0.7961,                 1.4167,                0.93517,                0.90954,                0.94783,                0.58169,                 1.3897,                0.75929,                 1.4681,              0.0015347,              0.0015347,              0.0015347
                     50,                 1.4906,                0.79692,                 1.4649,                0.92481,                0.91445,                0.94329,                0.55841,                  1.455,                0.76357,                 1.5086,              0.0015248,              0.0015248,              0.0015248
                     51,                 1.4578,                0.79903,                 1.4123,                 0.9311,                0.88971,                0.93357,                0.54313,                 1.4483,                0.79156,                 1.4931,              0.0015149,              0.0015149,              0.0015149
                     52,                 1.4696,                0.80556,                 1.4398,                0.93558,                0.90273,                0.94365,                0.56013,                 1.4568,                0.78106,                 1.4949,               0.001505,               0.001505,               0.001505
                     53,                   1.48,                0.80605,                  1.427,                0.93671,                0.90458,                0.95159,                 0.5739,                 1.4025,                0.77949,                 1.4694,              0.0014951,              0.0014951,              0.0014951
                     54,                 1.4865,                0.81215,                 1.4472,                0.93004,                0.91636,                0.95203,                0.57943,                 1.4028,                0.78563,                 1.4645,              0.0014852,              0.0014852,              0.0014852
                     55,                 1.4178,                0.78213,                 1.4154,                0.94824,                0.91388,                0.95019,                0.57601,                  1.407,                0.76969,                  1.463,              0.0014753,              0.0014753,              0.0014753
                     56,                 1.4218,                0.81417,                 1.4146,                0.94256,                0.91574,                0.93672,                0.56186,                 1.3997,                0.71558,                  1.465,              0.0014654,              0.0014654,              0.0014654
                     57,                 1.4537,                 0.7974,                 1.4049,                0.92968,                0.91745,                0.93776,                0.56971,                 1.3728,                0.71774,                 1.4372,              0.0014555,              0.0014555,              0.0014555
                     58,                 1.4247,                0.80495,                  1.459,                0.93785,                0.91016,                0.95456,                0.59188,                 1.3704,                0.74465,                 1.4411,              0.0014456,              0.0014456,              0.0014456
                     59,                 1.4591,                0.77853,                 1.4388,                0.94565,                0.91512,                0.95991,                0.58217,                 1.4171,                0.73763,                  1.469,              0.0014357,              0.0014357,              0.0014357
                     60,                 1.4547,                0.75681,                 1.4108,                0.93403,                0.92875,                0.94606,                0.57125,                 1.3619,                0.70833,                 1.4225,              0.0014258,              0.0014258,              0.0014258
                     61,                 1.4278,                 0.7803,                 1.4285,                0.94886,                0.92751,                0.95086,                0.58328,                 1.3688,                0.71071,                 1.4326,              0.0014159,              0.0014159,              0.0014159
                     62,                 1.4516,                0.78125,                 1.4523,                0.94686,                0.92255,                0.95952,                0.57352,                 1.4313,                0.72276,                 1.4769,               0.001406,               0.001406,               0.001406
                     63,                 1.5287,                0.80458,                 1.4831,                0.93862,                0.91884,                0.96154,                0.53894,                 1.5198,                0.77091,                 1.5491,              0.0013961,              0.0013961,              0.0013961
                     64,                 1.4693,                0.76668,                 1.4627,                0.94949,                0.92013,                0.95972,                  0.581,                 1.4133,                0.72642,                 1.4569,              0.0013862,              0.0013862,              0.0013862
                     65,                 1.4597,                0.77265,                 1.4386,                0.93673,                0.92645,                0.94979,                 0.5669,                 1.4454,                0.73346,                 1.4802,              0.0013763,              0.0013763,              0.0013763
                     66,                 1.4026,                0.70732,                 1.3859,                 0.9413,                0.92751,                0.95781,                0.58516,                 1.3896,                0.70375,                 1.4387,              0.0013664,              0.0013664,              0.0013664
                     67,                 1.4122,                0.72373,                 1.3886,                0.94114,                0.92999,                0.96472,                0.59216,                 1.3922,                0.69422,                 1.4331,              0.0013565,              0.0013565,              0.0013565
                     68,                 1.4036,                0.72359,                  1.347,                0.94529,                0.93136,                 0.9655,                 0.5968,                 1.3562,                0.69396,                 1.4168,              0.0013466,              0.0013466,              0.0013466
                     69,                  1.407,                0.72359,                 1.3593,                0.95666,                0.92069,                0.96308,                0.60051,                 1.3439,                0.66227,                 1.4114,              0.0013367,              0.0013367,              0.0013367
                     70,                 1.4033,                 0.7184,                 1.3791,                0.95518,                0.92131,                0.96073,                0.58955,                 1.3438,                0.67211,                 1.4109,              0.0013268,              0.0013268,              0.0013268
                     71,                 1.4136,                0.72886,                 1.3863,                0.95946,                0.92387,                0.96596,                0.58808,                 1.3801,                0.72752,                 1.4333,              0.0013169,              0.0013169,              0.0013169
                     72,                 1.4236,                 0.7351,                 1.4029,                0.96292,                0.92069,                0.96469,                0.58303,                 1.3791,                0.68278,                 1.4192,               0.001307,               0.001307,               0.001307
                     73,                 1.4067,                0.70191,                 1.3638,                0.95432,                0.92317,                0.95992,                0.58668,                 1.3667,                0.66986,                 1.4113,              0.0012971,              0.0012971,              0.0012971
                     74,                 1.4084,                0.72659,                 1.4121,                0.95591,                0.92687,                0.96475,                0.59748,                 1.3521,                0.65765,                 1.4074,              0.0012872,              0.0012872,              0.0012872
                     75,                 1.3828,                 0.7192,                 1.3789,                 0.9553,                0.92694,                0.96179,                0.58924,                 1.3856,                0.66891,                 1.4402,              0.0012773,              0.0012773,              0.0012773
                     76,                 1.3673,                0.69036,                 1.3786,                0.95522,                0.92999,                 0.9494,                0.57286,                 1.3715,                0.66951,                  1.414,              0.0012674,              0.0012674,              0.0012674
                     77,                 1.4193,                0.71399,                 1.3763,                0.95211,                0.92751,                0.96554,                0.57498,                 1.3853,                0.66039,                 1.4312,              0.0012575,              0.0012575,              0.0012575
                     78,                 1.3664,                0.73501,                 1.4122,                0.94966,                0.92328,                0.96538,                 0.6018,                 1.3329,                0.65771,                 1.3941,              0.0012476,              0.0012476,              0.0012476
                     79,                 1.3385,                0.69116,                 1.3739,                0.95399,                0.92504,                0.96274,                0.60361,                 1.3222,                0.64285,                 1.3873,              0.0012377,              0.0012377,              0.0012377
                     80,                 1.4219,                0.71878,                 1.3462,                0.94826,                0.93106,                0.95712,                0.59193,                 1.3386,                0.66601,                 1.3842,              0.0012278,              0.0012278,              0.0012278
                     81,                 1.3903,                0.71298,                 1.3844,                0.95297,                0.92908,                0.96574,                0.60117,                 1.3458,                0.64234,                 1.3923,              0.0012179,              0.0012179,              0.0012179
                     82,                 1.3795,                0.71887,                 1.4017,                0.95017,                0.92999,                0.96934,                0.58892,                  1.383,                0.65745,                 1.4251,               0.001208,               0.001208,               0.001208
                     83,                 1.3858,                0.71229,                 1.3865,                0.95411,                0.93309,                0.96104,                0.59552,                 1.3293,                0.63693,                 1.3908,              0.0011981,              0.0011981,              0.0011981
                     84,                 1.3673,                0.68975,                 1.3649,                0.95032,                 0.9362,                0.96057,                0.59215,                  1.326,                0.64342,                 1.3877,              0.0011882,              0.0011882,              0.0011882
                     85,                 1.3617,                0.67882,                 1.3255,                0.94941,                0.94176,                0.96188,                0.59061,                 1.3268,                0.64714,                 1.3867,              0.0011783,              0.0011783,              0.0011783
                     86,                 1.3707,                0.69045,                 1.3544,                0.95575,                0.94052,                0.96964,                0.60306,                 1.3236,                0.63319,                 1.3821,              0.0011684,              0.0011684,              0.0011684
                     87,                 1.3502,                0.68261,                 1.3356,                0.96297,                 0.9399,                0.97501,                0.61147,                 1.3443,                0.65196,                 1.3879,              0.0011585,              0.0011585,              0.0011585
                     88,                 1.3755,                0.68911,                 1.3969,                0.95609,                0.94052,                0.97307,                 0.6078,                 1.3511,                0.68555,                 1.3949,              0.0011486,              0.0011486,              0.0011486
                     89,                  1.389,                0.70146,                 1.3336,                0.96132,                0.93936,                0.97141,                0.60904,                 1.3484,                 0.6361,                  1.398,              0.0011387,              0.0011387,              0.0011387
                     90,                 1.3407,                0.69555,                 1.3455,                0.95648,                0.93618,                0.96744,                0.59656,                 1.3474,                  0.633,                 1.4017,              0.0011288,              0.0011288,              0.0011288
                     91,                  1.371,                0.67453,                 1.3634,                0.95315,                0.94545,                0.96633,                0.60777,                 1.3071,                0.60522,                 1.3716,              0.0011189,              0.0011189,              0.0011189
                     92,                  1.372,                0.69616,                 1.3834,                0.95692,                0.93804,                0.97006,                0.60568,                 1.3371,                0.61778,                 1.3882,               0.001109,               0.001109,               0.001109
                     93,                 1.3542,                0.69332,                 1.3807,                0.95325,                 0.9399,                0.96879,                 0.6112,                 1.3164,                0.62749,                 1.3769,              0.0010991,              0.0010991,              0.0010991
                     94,                 1.3794,                0.68742,                 1.3376,                0.95825,                0.94176,                0.96578,                0.60861,                 1.3119,                0.60511,                 1.3743,              0.0010892,              0.0010892,              0.0010892
                     95,                 1.3531,                0.63091,                 1.3151,                0.95382,                0.94424,                0.96869,                0.60305,                  1.336,                0.62181,                 1.3912,              0.0010793,              0.0010793,              0.0010793
                     96,                 1.3422,                0.64924,                 1.3216,                0.95236,                 0.9368,                0.96822,                0.60576,                 1.3231,                0.62942,                 1.3849,              0.0010694,              0.0010694,              0.0010694
                     97,                 1.3596,                0.69566,                 1.3538,                0.95678,                0.93618,                 0.9728,                 0.6152,                 1.3188,                0.61201,                 1.3738,              0.0010595,              0.0010595,              0.0010595
                     98,                 1.3661,                0.68483,                 1.3425,                0.95647,                0.93943,                0.97062,                0.59785,                  1.377,                0.63622,                 1.4092,              0.0010496,              0.0010496,              0.0010496
                     99,                 1.4049,                 0.6702,                  1.323,                0.95599,                0.94219,                0.96523,                0.59297,                 1.3484,                0.62304,                 1.3981,              0.0010397,              0.0010397,              0.0010397
                    100,                 1.3594,                0.67507,                 1.3524,                0.95345,                0.95415,                0.97368,                0.61616,                 1.3117,                0.60508,                 1.3704,              0.0010298,              0.0010298,              0.0010298
                    101,                 1.3067,                0.65405,                 1.3046,                 0.9568,                0.95291,                0.97174,                0.60674,                  1.314,                 0.5976,                 1.3781,              0.0010199,              0.0010199,              0.0010199
                    102,                 1.4007,                0.68295,                 1.3688,                0.95284,                0.95145,                0.96898,                0.60108,                 1.3386,                0.60315,                 1.3922,                0.00101,                0.00101,                0.00101
                    103,                 1.3767,                0.68011,                 1.4384,                0.95613,                0.94521,                0.97236,                0.60899,                  1.337,                0.61629,                 1.3838,              0.0010001,              0.0010001,              0.0010001
                    104,                 1.3602,                0.65497,                 1.3208,                0.95311,                 0.9461,                0.97586,                 0.6123,                 1.3004,                0.61733,                 1.3626,              0.0009902,              0.0009902,              0.0009902
                    105,                 1.3313,                0.67529,                 1.3378,                0.96097,                0.94568,                0.97817,                0.62336,                 1.3095,                0.59869,                 1.3655,              0.0009803,              0.0009803,              0.0009803
                    106,                 1.3327,                0.64978,                 1.3013,                0.95481,                0.94981,                0.97358,                0.61603,                  1.313,                0.60241,                 1.3651,              0.0009704,              0.0009704,              0.0009704
                    107,                 1.2963,                0.65084,                 1.3421,                0.95112,                0.95167,                 0.9725,                0.60943,                 1.3015,                0.60085,                 1.3607,              0.0009605,              0.0009605,              0.0009605
                    108,                 1.4017,                0.68766,                 1.3403,                0.95288,                0.94919,                 0.9743,                0.61582,                 1.3334,                0.61063,                 1.3802,              0.0009506,              0.0009506,              0.0009506
                    109,                 1.3195,                 0.6542,                 1.3685,                0.95471,                0.95353,                0.97427,                0.62253,                  1.295,                0.57434,                 1.3584,              0.0009407,              0.0009407,              0.0009407
                    110,                 1.3398,                0.62176,                 1.3196,                0.95402,                0.95128,                0.97345,                0.61723,                 1.3035,                0.58149,                 1.3634,              0.0009308,              0.0009308,              0.0009308
                    111,                 1.3402,                0.62612,                 1.3329,                0.96146,                0.93928,                0.97189,                0.60785,                 1.3152,                0.59043,                 1.3692,              0.0009209,              0.0009209,              0.0009209
                    112,                 1.3666,                0.66677,                 1.3469,                0.96393,                0.94486,                0.97412,                0.61308,                 1.3205,                0.59108,                 1.3652,               0.000911,               0.000911,               0.000911
                    113,                 1.3058,                0.63977,                 1.2791,                0.96106,                0.94816,                0.97693,                0.62019,                 1.2928,                0.58933,                 1.3564,              0.0009011,              0.0009011,              0.0009011
                    114,                 1.3777,                 0.6681,                 1.3478,                0.96481,                0.95127,                0.98029,                 0.6244,                 1.2956,                0.57395,                 1.3577,              0.0008912,              0.0008912,              0.0008912
                    115,                 1.3448,                0.63195,                 1.3199,                0.95725,                0.95733,                0.98152,                0.63278,                 1.2838,                0.56851,                  1.351,              0.0008813,              0.0008813,              0.0008813
                    116,                 1.3347,                0.65488,                  1.326,                0.96424,                0.94486,                0.98202,                0.63532,                 1.2942,                0.57426,                 1.3584,              0.0008714,              0.0008714,              0.0008714
                    117,                 1.3321,                0.62787,                 1.3591,                0.96155,                0.94522,                 0.9806,                 0.6357,                 1.2885,                0.57129,                 1.3491,              0.0008615,              0.0008615,              0.0008615
                    118,                 1.3283,                0.63588,                 1.3153,                 0.9568,                0.94683,                0.97892,                0.62786,                 1.2859,                0.56841,                 1.3483,              0.0008516,              0.0008516,              0.0008516
                    119,                 1.2899,                0.63101,                 1.3121,                0.95678,                0.95105,                0.97748,                0.61785,                 1.3025,                0.57478,                 1.3575,              0.0008417,              0.0008417,              0.0008417
                    120,                 1.3352,                 0.6294,                 1.3245,                0.95063,                0.95911,                0.97806,                0.62623,                 1.2873,                0.57405,                 1.3469,              0.0008318,              0.0008318,              0.0008318
                    121,                  1.307,                0.60569,                 1.3062,                0.94693,                0.95787,                0.97571,                0.62472,                 1.2973,                0.56472,                  1.355,              0.0008219,              0.0008219,              0.0008219
                    122,                  1.331,                0.62554,                 1.3066,                0.95347,                0.95973,                0.97572,                0.62346,                 1.2827,                  0.566,                 1.3465,               0.000812,               0.000812,               0.000812
                    123,                 1.3211,                0.62789,                 1.3144,                0.95753,                0.95539,                0.97557,                0.62294,                 1.2743,                0.56821,                 1.3463,              0.0008021,              0.0008021,              0.0008021
                    124,                 1.3211,                0.62278,                 1.3328,                0.96161,                0.94919,                0.97754,                0.62874,                 1.2793,                0.55986,                 1.3475,              0.0007922,              0.0007922,              0.0007922
                    125,                 1.3089,                0.62102,                 1.3394,                0.96474,                 0.9492,                0.97992,                0.62105,                 1.2985,                0.56579,                 1.3556,              0.0007823,              0.0007823,              0.0007823
                    126,                 1.3351,                0.61247,                 1.3209,                0.96369,                0.94857,                0.98156,                0.62243,                 1.3056,                0.57447,                 1.3613,              0.0007724,              0.0007724,              0.0007724
                    127,                 1.3388,                0.63525,                 1.2933,                0.94972,                0.96221,                0.98197,                0.62802,                 1.3122,                0.57885,                 1.3575,              0.0007625,              0.0007625,              0.0007625
                    128,                 1.2877,                0.63841,                 1.2968,                0.95391,                0.95601,                0.97976,                 0.6265,                 1.2961,                0.56531,                 1.3469,              0.0007526,              0.0007526,              0.0007526
                    129,                 1.3155,                0.62594,                   1.31,                0.96004,                0.95278,                0.98158,                0.63217,                 1.2761,                0.55975,                 1.3435,              0.0007427,              0.0007427,              0.0007427
                    130,                 1.2985,                0.59265,                 1.2621,                0.95135,                0.96592,                 0.9789,                0.63085,                 1.2746,                0.55705,                 1.3391,              0.0007328,              0.0007328,              0.0007328
                    131,                 1.3106,                0.62013,                 1.3507,                0.95621,                0.96054,                0.97862,                 0.6328,                 1.2668,                0.54496,                 1.3353,              0.0007229,              0.0007229,              0.0007229
                    132,                  1.329,                0.63179,                 1.3134,                0.96431,                0.95415,                0.97955,                0.63407,                 1.2716,                0.55389,                 1.3393,               0.000713,               0.000713,               0.000713
                    133,                 1.2703,                0.58777,                 1.2626,                0.95408,                0.96539,                0.97848,                0.63087,                  1.282,                0.54732,                  1.342,              0.0007031,              0.0007031,              0.0007031
                    134,                  1.307,                0.60006,                 1.2985,                0.95513,                0.96281,                0.97806,                0.62976,                 1.2732,                0.55341,                 1.3374,              0.0006932,              0.0006932,              0.0006932
                    135,                 1.2778,                0.58917,                 1.2534,                0.95682,                0.96107,                0.98177,                0.63219,                 1.2729,                0.56069,                 1.3429,              0.0006833,              0.0006833,              0.0006833
                    136,                 1.3278,                 0.6176,                 1.3574,                0.95965,                0.95776,                0.98419,                0.63387,                 1.2796,                 0.5679,                 1.3488,              0.0006734,              0.0006734,              0.0006734
                    137,                 1.3019,                0.60501,                 1.3125,                0.95261,                0.95895,                0.98294,                0.63661,                 1.2751,                0.55435,                 1.3413,              0.0006635,              0.0006635,              0.0006635
                    138,                 1.3006,                0.60047,                 1.3232,                0.95487,                0.95601,                0.98085,                0.63961,                  1.264,                0.54843,                  1.332,              0.0006536,              0.0006536,              0.0006536
                    139,                 1.2762,                0.58287,                 1.2903,                0.95121,                 0.9663,                 0.9792,                0.63049,                 1.2618,                0.55318,                 1.3318,              0.0006437,              0.0006437,              0.0006437
                    140,                 1.3208,                0.59578,                 1.3067,                0.95553,                0.96654,                0.98007,                0.62851,                  1.273,                0.56123,                 1.3431,              0.0006338,              0.0006338,              0.0006338
                    141,                 1.2854,                0.59987,                 1.2859,                0.95625,                0.96716,                0.98119,                0.64171,                 1.2558,                0.54788,                 1.3262,              0.0006239,              0.0006239,              0.0006239
                    142,                 1.2926,                0.57949,                 1.2803,                0.95913,                0.96283,                0.98156,                0.64142,                 1.2711,                0.54505,                 1.3351,               0.000614,               0.000614,               0.000614
                    143,                 1.2968,                0.58864,                 1.3023,                0.95648,                0.96221,                0.98163,                0.64322,                  1.263,                0.53629,                  1.327,              0.0006041,              0.0006041,              0.0006041
                    144,                 1.3141,                0.60476,                 1.3297,                0.96098,                0.95477,                0.98166,                0.63392,                  1.275,                0.54435,                 1.3346,              0.0005942,              0.0005942,              0.0005942
                    145,                  1.298,                0.61386,                 1.3003,                0.96196,                0.95725,                0.98089,                 0.6336,                 1.2589,                0.54622,                 1.3268,              0.0005843,              0.0005843,              0.0005843
                    146,                 1.2576,                0.60321,                 1.3176,                 0.9636,                0.95973,                0.98387,                0.64079,                 1.2523,                0.53703,                 1.3213,              0.0005744,              0.0005744,              0.0005744
                    147,                 1.3076,                0.59951,                 1.2936,                0.95834,                 0.9653,                0.98486,                 0.6434,                 1.2725,                0.54225,                 1.3331,              0.0005645,              0.0005645,              0.0005645
                    148,                 1.2821,                0.56912,                 1.2875,                0.95743,                0.96716,                0.98491,                0.64697,                 1.2569,                0.53352,                 1.3265,              0.0005546,              0.0005546,              0.0005546
                    149,                 1.2862,                 0.5896,                 1.2845,                0.96113,                0.96468,                0.98461,                0.64158,                 1.2579,                0.53061,                 1.3304,              0.0005447,              0.0005447,              0.0005447
                    150,                 1.2997,                 0.5953,                 1.2629,                0.95621,                0.96654,                0.98373,                   0.64,                 1.2653,                0.53158,                 1.3329,              0.0005348,              0.0005348,              0.0005348
                    151,                 1.2773,                0.58543,                 1.3028,                0.95909,                0.96406,                0.98261,                0.64595,                 1.2454,                0.53209,                  1.324,              0.0005249,              0.0005249,              0.0005249
                    152,                 1.2737,                0.58198,                 1.2822,                0.96727,                0.95218,                0.98336,                 0.6478,                  1.235,                0.53152,                 1.3194,               0.000515,               0.000515,               0.000515
                    153,                 1.2851,                0.57638,                 1.2543,                 0.9609,                0.95934,                0.98447,                0.64528,                 1.2469,                0.53307,                 1.3181,              0.0005051,              0.0005051,              0.0005051
                    154,                 1.2447,                0.57528,                 1.2778,                0.96388,                0.95897,                 0.9854,                0.64741,                 1.2397,                0.53218,                 1.3171,              0.0004952,              0.0004952,              0.0004952
