                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                  1.827,                 1.8696,                 2.4032,                0.53688,                0.68819,                0.69077,                0.37069,                 1.7108,                 2.2341,                 2.1996,             0.00061079,             0.00061079,             0.00061079
                     35,                 1.8677,                 1.8705,                 2.3834,                0.58515,                0.68195,                 0.7355,                0.39388,                  1.681,                 1.9686,                 2.1986,             0.00057778,             0.00057778,             0.00057778
                     36,                 1.7918,                 1.7846,                 2.4058,                0.61926,                0.61557,                0.71907,                0.38527,                  1.681,                 1.9746,                 2.2434,             0.00054478,             0.00054478,             0.00054478
                     37,                 1.7906,                 1.7528,                 2.3668,                0.68411,                0.73154,                0.77951,                0.42731,                  1.664,                 1.8054,                    2.2,             0.00051177,             0.00051177,             0.00051177
                     38,                 1.8159,                 1.7437,                  2.307,                0.71693,                0.79978,                0.81853,                0.45067,                 1.6686,                 1.7284,                 2.2025,             0.00047876,             0.00047876,             0.00047876
                     39,                 1.7668,                  1.725,                 2.3359,                0.74049,                0.73815,                0.80803,                0.47425,                 1.6153,                 1.7279,                 2.1633,             0.00044576,             0.00044576,             0.00044576
                     40,                  1.752,                 1.6527,                 2.3399,                0.74951,                0.73631,                0.81717,                0.47756,                 1.6244,                 1.7344,                 2.1701,             0.00041275,             0.00041275,             0.00041275
                     41,                 1.7633,                 2.0985,                 2.2681,                0.65136,                0.74509,                0.78299,                0.44254,                 1.6715,                 1.7963,                 2.1846,             0.00037974,             0.00037974,             0.00037974
                     42,                  1.705,                 1.8663,                 2.2192,                0.63118,                 0.6731,                 0.6989,                0.39184,                 1.6894,                 1.9082,                 2.2164,             0.00034674,             0.00034674,             0.00034674
                     43,                   1.64,                 1.7705,                 2.1971,                0.68399,                0.69087,                0.76379,                0.44192,                 1.6456,                 1.8802,                 2.1917,             0.00031373,             0.00031373,             0.00031373
                     44,                 1.6282,                 1.6634,                 2.1701,                0.78476,                0.77284,                 0.8459,                0.49829,                 1.5445,                 1.7414,                 2.1087,             0.00028072,             0.00028072,             0.00028072
                     45,                 1.6255,                 1.6943,                 2.1985,                0.81493,                0.79966,                0.88656,                0.53194,                 1.5267,                 1.6628,                 2.0933,             0.00024772,             0.00024772,             0.00024772
                     46,                  1.621,                 1.5979,                 2.1686,                0.87652,                0.75407,                0.89485,                0.55083,                 1.5072,                 1.6476,                 2.0949,             0.00021471,             0.00021471,             0.00021471
                     47,                 1.5395,                  1.594,                 2.0869,                0.86776,                0.80404,                0.89792,                0.54418,                 1.5197,                  1.644,                 2.0926,              0.0001817,              0.0001817,              0.0001817
                     48,                  1.543,                 1.6257,                 2.1285,                0.90431,                0.81879,                0.91036,                0.54249,                 1.5208,                 1.6424,                 2.0765,              0.0001487,              0.0001487,              0.0001487
                     49,                 1.6144,                 1.5234,                 2.1372,                0.88639,                0.85793,                 0.9274,                0.55948,                 1.5106,                 1.5911,                 2.0579,             0.00011569,             0.00011569,             0.00011569
                     50,                   1.51,                 1.5259,                 2.1059,                0.90303,                0.85982,                0.93912,                0.57182,                 1.4927,                 1.5331,                 2.0494,             8.2683e-05,             8.2683e-05,             8.2683e-05
